[[606, 0], [0, 0], [0, 0], [0, 0], [-51162, 120606], [-5268, -8016], [0, 0], [2328, -3300], [20640, -29856], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[35, 4], [0, 0], [0, 0], [0, 0], [2219, 244], [17, 68], [0, 0], [47, -48], [-527, -184], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[408, 1], [0, 0], [0, 0], [0, 0], [321, 1682], [-61, -63], [0, 0], [20, -70], [15, -472], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[171, 0], [0, 0], [0, 0], [0, 0], [-84455, -26371], [-460, -1862], [0, 0], [-1834, 3670], [18544, 11792], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[958, 3], [0, 0], [0, 0], [0, 0], [824, -1626], [65, 111], [0, 0], [-39, 33], [-310, 390], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[387, 5], [0, 0], [0, 0], [0, 0], [-2073, 888], [-61, -116], [0, 0], [-2, -6], [549, -124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[705, 2], [0, 0], [0, 0], [0, 0], [-1625, -1149], [17, -4], [0, 0], [-51, 76], [303, 408], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[286, 2], [0, 0], [0, 0], [0, 0], [-1625, -1149], [17, -4], [0, 0], [-51, 76], [303, 408], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[684, 0], [0, 0], [0, 0], [0, 0], [137397, 64401], [-37, 1945], [0, 0], [3525, -6840], [-28688, -25008], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[33, 3], [0, 0], [0, 0], [0, 0], [824, -1626], [65, 111], [0, 0], [-39, 33], [-310, 390], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[369, 4], [0, 0], [0, 0], [0, 0], [2219, 244], [17, 68], [0, 0], [47, -48], [-527, -184], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

