[[554, 0], [0, 0], [0, 0], [0, 0], [-1392, -72352], [0, 0], [0, 0], [0, 0], [-3872, 16352], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[135, 0], [0, 0], [0, 0], [0, 0], [5976, -30288], [0, 0], [0, 0], [0, 0], [-3216, 6480], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[669, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[490, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[888, 0], [0, 0], [0, 0], [0, 0], [49968, -44808], [0, 0], [0, 0], [0, 0], [-14760, 7296], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[469, 0], [0, 0], [0, 0], [0, 0], [15960, -51112], [0, 0], [0, 0], [0, 0], [-6856, 10608], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[867, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[630, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[432, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[729, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

